avg_cl,trans,deg_centr,average_neighbor_degree,average_degree_connectivity,k_nearest_neighbors,degree_centrality,closeness_centrality,betweenness_centrality,diameter,average_shortest_path_length
0.0,0,1,640778343,0,0,1,0.0,0.0,0,0
0.463677265510324,0.2187173595153541,0.08817498291182502,505723839.66233766,22.924559808621986,22.924559808621986,0.08817498291182502,0.5266102819946942,0.012157666894509,2,1
0.0,0,1,643956845,0,0,1,0.0,0.0,0,0
0.0,0,1,651296888,0,0,1,0.0,0.0,0,0
0.0,0,1,650543224,0,0,1,0.0,0.0,0,0
0.0,0,1,649298042,0,0,1,0.0,0.0,0,0
0.25595238095238093,0.13043478260869565,0.2857142857142857,608168391.875,4.261904761904762,4.261904761904762,0.2857142857142857,0.6073717948717948,0.11904761904761904,2,1
1.0,1.0,1.0,359700140,4.0,4.0,1.0,1.0,0.0,1,1
1.0,1.0,1.0,341648728,2.0,2.0,1.0,1.0,0.0,1,1
0.0,0,1,642089084,0,0,1,0.0,0.0,0,0
0.6105558949507153,0.32568238213399503,0.13002114164904863,176788068.77272728,16.45813868660768,16.45813868660768,0.13002114164904863,0.5410289354333352,0.02071378234168932,2,1
0.7013926977162271,0.5629453681710214,0.33986928104575165,294340550,10.171930166783108,10.171930166783108,0.33986928104575165,0.6207088813389829,0.041258169934640515,2,1
0.8844155844155843,0.8262295081967214,0.7636363636363637,205809963.27272728,8.833333333333334,8.833333333333334,0.7636363636363637,0.832651305913338,0.026262626262626265,2,1
0.0,0,1,650477704,0,0,1,0.0,0.0,0,0
0.0,0,1,647856265,0,0,1,0.0,0.0,0,0
0.0,0,1,646316170,0,0,1,0.0,0.0,0,0
0.0,0,1,651591822,0,0,1,0.0,0.0,0,0
0.0,0,1,651460751,0,0,1,0.0,0.0,0,0
0.3372644534564898,0.20903522205206737,0.1259920634920635,592328677.5625,20.72922499885735,20.72922499885735,0.1259920634920635,0.5377695420710336,0.01409690220174091,2,1
0.0,0,1,643235987,0,0,1,0.0,0.0,0,0
0.0,0,1,642318483,0,0,1,0.0,0.0,0,0
0.0,0,1,649592982,0,0,1,0.0,0.0,0,0
0.0,0,1,648282263,0,0,1,0.0,0.0,0,0
0.0,0,1,648282269,0,0,1,0.0,0.0,0,0
0.0,0,1,644743327,0,0,1,0.0,0.0,0,0
0.0,0,1,647987360,0,0,1,0.0,0.0,0,0
0.0,0,1,640221345,0,0,1,0.0,0.0,0,0
0.0,0,1,640024736,0,0,1,0.0,0.0,0,0
0.0,0,1,649265316,0,0,1,0.0,0.0,0,0
0.0,0,1,649855141,0,0,1,0.0,0.0,0,0
0.0,0,1,652017839,0,0,1,0.0,0.0,0,0
0.8616383616383615,0.8975206611570248,0.7032967032967034,212800140.85714287,10.956160506160506,10.956160506160506,0.7032967032967034,0.7978146258503401,0.024725274725274728,2,1
0.0,0,1,645365937,0,0,1,0.0,0.0,0,0
0.6879451375691977,0.5331325301204819,0.3523809523809524,239893006.52380952,10.926569264069265,10.926569264069265,0.3523809523809524,0.6217819697271411,0.034085213032581455,2,1
0.0,0,1,640090289,0,0,1,0.0,0.0,0,0
0.0,0,1,642089144,0,0,1,0.0,0.0,0,0
0.0,0,1,643956922,0,0,1,0.0,0.0,0,0
0.0,0,1,645202110,0,0,1,0.0,0.0,0,0
