,uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country,avg_cl,trans,deg_centr,average_neighbor_degree,average_degree_connectivity,k_nearest_neighbors,degree_centrality,closeness_centrality,betweenness_centrality,diameter,average_shortest_path_length,target
1087,650874449,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650874449.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1088,649104979,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,21.0,5.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,649104979.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1089,651202137,1,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,651202137.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1090,643927642,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,643927642.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1091,639569499,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,639569499.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1092,646090339,1,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,16.0,6.0,2.0,0.0,0.0,16.0,24.0,0.0,0.0,0.6346405228758172,0.5172413793103449,0.3235294117647059,368674029.5882353,9.264285714285714,9.264285714285714,0.3235294117647059,0.6105651604702839,0.0450980392156862,2,1,0
1093,643403365,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,113.0,216.0,0.0,0.0,0.0,0.0,0.0,158.0,1.0,0.0,0.0,1.0,643403365.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1094,642485865,1,2,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,123.0,4.0,1.0,14.0,2.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,587336472.5,1.0,1.0,1.0,1.0,0.0,1,1,0
1095,647466606,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,647466606.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1096,641961589,0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,236.0,119.0,0.0,9.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,641961589.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1097,647368310,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,647368310.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1098,644157049,0,2,1.0,1.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1.0,1.0,72.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,385598280.0,1.0,1.0,1.0,1.0,0.0,1,1,0
1099,651398782,0,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,651398782.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1100,647859841,0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,647859841.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1101,646876801,1,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,2.0,8.0,8.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.6666666666666666,555405966.6666666,1.5,1.5,0.6666666666666666,0.7777777777777778,0.3333333333333333,2,1,0
1102,651202182,1,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,651202182.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1103,645664390,0,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,104.0,0.0,1.0,0.0,0.0,1.0,462206957.5,1.0,1.0,1.0,1.0,0.0,1,1,0
